id,TIPO_NOME,TIPO,Nome_UC,NGI,GR,CNUC,Atos_legais,UF,Bioma_predominante,Bioma_comp_RL,Area
231,REVIS DOS CAMPOS DE PALMAS,REVIS,REFUGIO DE VIDA SILVESTRE DOS CAMPOS DE PALMAS,ICMBio Palmas,GR5,0000.00.0278,DEC S/N de 03/04/2006,PR;SC,MATA ATLANTICA,MATA ATLANTICA,14833.5472903585
232,REVIS DA ILHA DOS LOBOS,REVIS,REFUGIO DE VIDA SILVESTRE DA ILHA DOS LOBOS,Gestao singular,GR5,0000.00.0190,DEC 88.463. DE 04/07/1983; DEC S/N de 13/02/2006,RS,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,17749.9982970161
233,REVIS DE BOA NOVA,REVIS,REFUGIO DE VIDA SILVESTRE DE BOA NOVA,ICMBio Sudoeste Baiano,GR2,0000.00.1907,DEC S/N. de 11/06/2010,BA,MATA ATLANTICA,MATA ATLANTICA,23262.0858243172
234,REVIS DE SANTA CRUZ,REVIS,REFUGIO DE VIDA SILVESTRE DE SANTA CRUZ,Gestao singular,GR4,0000.00.1911,DEC S/N de 17/06/2010,ES,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,67479.2905005773
235,REVIS DE UNA,REVIS,REFUGIO DE VIDA SILVESTRE DE UNA,Gestao singular,GR2,0000.00.1880,DEC S/N de 21/12/2007,BA,MATA ATLANTICA,MATA ATLANTICA,898.67840109647
236,REVIS DO RIO DOS FRADES,REVIS,REFUGIO DE VIDA SILVESTRE DO RIO DOS FRADES,Gestao singular,GR2,0000.00.1813,DEC S/N de 21/12/2007,BA,MATA ATLANTICA,MATA ATLANTICA,16594.2869698293
237,REBIO  AUGUSTO RUSCHI,REBIO,RESERVA BIOLOGICA  AUGUSTO RUSCHI,Gestao singular,GR4,0000.00.0191,DEC 87.589 de 20/09/1982; DEC 92.753 de 05/06/1986,ES,MATA ATLANTICA,MATA ATLANTICA,3540.320142
238,REBIO BOM JESUS,REBIO,RESERVA BIOLOGICA BOM JESUS,ICMBio Antonina-Guaraquecaba,GR5,0000.00.2634,DEC S/N de 05/06/2012,PR,MATA ATLANTICA,MATA ATLANTICA,34179.0261270935
239,REBIO DA CONTAGEM,REBIO,RESERVA BIOLOGICA DA CONTAGEM,ICMBio Brasilia-Contagem,GR3,0000.00.0192,DEC S/N de 13/12/2002,DF,CERRADO,CERRADO,3411.71689434248
240,REBIO DA MATA ESCURA,REBIO,RESERVA BIOLOGICA DA MATA ESCURA,Gestao singular,GR4,0000.00.0193,DEC S/N de 05/06/2003,MG,MATA ATLANTICA,MATA ATLANTICA,50892.3879726743
241,REBIO DAS ARAUCARIAS,REBIO,RESERVA BIOLOGICA DAS ARAUCARIAS,ICMBio Campos Gerais,GR5,0000.00.0276,DEC S/N de 23/03/2006,PR,MATA ATLANTICA,MATA ATLANTICA,14930.4928392807
242,REBIO DAS PEROBAS,REBIO,RESERVA BIOLOGICA DAS PEROBAS,Gestao singular,GR5,0000.00.0275,DEC S/N de 20/03/2006,PR,MATA ATLANTICA,MATA ATLANTICA,8716.19222132494
243,REBIO DE COMBOIOS,REBIO,RESERVA BIOLOGICA DE COMBOIOS,Gestao singular,GR4,0000.00.0195,DEC  90.222 de 25/09/1984,ES,MATA ATLANTICA,SISTEMA COSTEIRO-MARINHO;MATA ATLANTICA,784.64167735622
244,REBIO DE POCO DAS ANTAS,REBIO,RESERVA BIOLOGICA DE POCO DAS ANTAS,ICMBio Mico-Leao-Dourado,GR4,0000.00.0215,DEC  73.791 de 11/03/1974; DEC  76.534 de 13/11/1975,RJ,MATA ATLANTICA,MATA ATLANTICA,5052.53351585994
245,REBIO DE SALTINHO,REBIO,RESERVA BIOLOGICA DE SALTINHO,ICMBio Costa dos Corais,GR2,0000.00.0198,DEC  88.744 de 21/09/1983,PE,MATA ATLANTICA,MATA ATLANTICA,562.57688825896
246,REBIO DE SANTA ISABEL,REBIO,RESERVA BIOLOGICA DE SANTA ISABEL,Gestao singular,GR2,0000.00.0199,DEC  96.999 de 20/10/1988,SE,MATA ATLANTICA,MATA ATLANTICA;SISTEMA COSTEIRO-MARINHO,4109.88365883201
247,REBIO DE SERRA NEGRA,REBIO,RESERVA BIOLOGICA DE SERRA NEGRA,Gestao singular,GR2,0000.00.0200,DEC  87.591 de 20/08/1982,PE,CAATINGA,CAATINGA,624.85834310982
248,REBIO DE SOORETAMA,REBIO,RESERVA BIOLOGICA DE SOORETAMA,Gestao singular,GR4,0000.00.0201,DEC  87.588 de 20/09/1982,ES,MATA ATLANTICA,MATA ATLANTICA,27859.0127100645
249,REBIO DE UNA,REBIO,RESERVA BIOLOGICA DE UNA,Gestao singular,GR2,0000.00.0202,DEC  85.463 de 10/12/1980,BA,MATA ATLANTICA,MATA ATLANTICA,18725.062838974
250,REBIO DO ABUFARI,REBIO,RESERVA BIOLOGICA DO ABUFARI,Gestao singular,GR1,0000.00.0194,DEC  87.585 de 20/09/1982,AM,AMAZONIA,AMAZONIA,224748.68750244
251,REBIO DO ATOL DAS ROCAS,REBIO,RESERVA BIOLOGICA DO ATOL DAS ROCAS,Gestao singular,GR2,0000.00.0203,DEC  83.549 de 05/06/1979,PE,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,35187.0141878152
252,REBIO DO CORREGO DO VEADO,REBIO,RESERVA BIOLOGICA DO CORREGO DO VEADO,ICMBio Sao Mateus,GR4,0000.00.0204,DEC  87.590 de 20/09/1982; DEC 89.569 de 23/04/1984,ES,MATA ATLANTICA,MATA ATLANTICA,2375.76298441171
253,REBIO DO CORREGO GRANDE,REBIO,RESERVA BIOLOGICA DO CORREGO GRANDE,ICMBio Sao Mateus,GR4,0000.00.0205,DEC  97.657 de 12/04/1989,ES,MATA ATLANTICA,MATA ATLANTICA,1503.75188829654
254,REBIO DO GUAPORE,REBIO,RESERVA BIOLOGICA DO GUAPORE,ICMBio Cautario-Guapore,GR1,0000.00.0206,DEC  87.587 de 20/09/1982,RO,AMAZONIA,AMAZONIA,615776.329345501
255,REBIO DO GURUPI,REBIO,RESERVA BIOLOGICA DO GURUPI,Gestao singular,GR1,0000.00.0207,DEC 95.614 de 12/01/1988,MA,AMAZONIA,AMAZONIA,271477.699887687
256,REBIO DO JARU,REBIO,RESERVA BIOLOGICA DO JARU,Gestao singular,GR1,0000.00.0208,DEC  83.716 de 11/07/1979; DEC S/N de 02/05/2006,RO,AMAZONIA,AMAZONIA,346864.198151306
257,REBIO DO LAGO PIRATUBA,REBIO,RESERVA BIOLOGICA DO LAGO PIRATUBA,Gestao singular,GR1,0000.00.0209,DEC  84.914 de 16/07/1980; DEC  89.932 de 10/07/1984,AP,AMAZONIA,AMAZONIA,392474.848863916
258,REBIO DO MANICORE,REBIO,RESERVA BIOLOGICA DO MANICORE,ICMBio Humaita,GR1,0000.00.3411,DEC S/N de 11/05/2016,AM,AMAZONIA,AMAZONIA,359137.545512787
259,REBIO DO RIO TROMBETAS,REBIO,RESERVA BIOLOGICA DO RIO TROMBETAS,ICMBio Trombetas,GR1,0000.00.0210,DEC  84018 de 21/09/1979,PA,AMAZONIA,AMAZONIA,407759.212950758
260,REBIO DO TAPIRAPE,REBIO,RESERVA BIOLOGICA DO TAPIRAPE,Gestao singular,GR1,0000.00.0211,DEC  97.719 de 05/05/1989,PA,AMAZONIA,AMAZONIA,99273.0353052594
261,REBIO DO TINGUA,REBIO,RESERVA BIOLOGICA DO TINGUA,ICMBio Serra Fluminense,GR4,0000.00.0212,DEC  97.780 de 23/05/1989,RJ,MATA ATLANTICA,MATA ATLANTICA,24812.9023566884
262,REBIO DO UATUMA,REBIO,RESERVA BIOLOGICA DO UATUMA,Gestao singular,GR1,0000.00.0213,DEC  99.277 de 06/06/1990; DEC S/N de 19/09/2002,AM,AMAZONIA,AMAZONIA,938731.621537658
263,REBIO GUARIBAS,REBIO,RESERVA BIOLOGICA GUARIBAS,ICMBio Mamanguape,GR2,0000.00.0196,DEC  98.884 de 25/01/1990,PB,MATA ATLANTICA,MATA ATLANTICA,4051.69033039043
264,REBIO MARINHA DO ARVOREDO,REBIO,RESERVA BIOLOGICA MARINHA DO ARVOREDO,ICMBio Florianopolis,GR5,0000.00.0214,DEC  99.142 de 12/03/1990,SC,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO;MATA ATLANTICA,17104.5996795575
265,REBIO DAS NASCENTES DA SERRA DO CACHIMBO,REBIO,RESERVA BIOLOGICA NASCENTES DA SERRA DO CACHIMBO,Unidade Especial Avancada - UNA Itaituba,GR1,0000.00.0216,DEC S/N de 20/05/2005,PA,AMAZONIA,AMAZONIA,342195.772904465
266,REBIO UNIAO,REBIO,RESERVA BIOLOGICA UNIAO,ICMBio Mico-Leao-Dourado,GR4,0000.00.0217,DEC S/N de 22/04/1998;  DEC S/N de 05/06/2017,RJ,MATA ATLANTICA,MATA ATLANTICA,7756.75871916781
267,REBIO DE PEDRA TALHADA,REBIO,RESERVA BIOLOGICA DE PEDRA TALHADA,Gestao singular,GR2,0000.00.0197,DEC  98.524 de 13/12/1989,PE;AL,MATA ATLANTICA,MATA ATLANTICA,4382.37232471999
268,RDS DE  ITATUPA-BAQUIA,RDS,RESERVA DE DESENVOLVIMENTO DE SUSTENTAVEL DE  ITATUPA-BAQUIA,Gestao singular,GR1,0000.00.0218,DEC S/N de 14/06/2005,PA,AMAZONIA,AMAZONIA,64442.1783651946
269,RDS NASCENTES GERAIZEIRAS,RDS,RESERVA DE DESENVOLVIMENTO SUSTENTAVEL NASCENTES GERAIZEIRAS,Gestao singular,GR4,0000.00.3135,DEC S/N de 13/10/2014,MG,CERRADO,MATA ATLANTICA;CERRADO,38177.2667933352
270,RESEX ACAU GOIANA,RESEX,RESERVA EXTRATIVISTA ACAU-GOIANA,ICMBio Cabedelo,GR2,0000.00.1563,DEC S/N. de 26/09/2007,PB;PE,MATA ATLANTICA,MATA ATLANTICA,6676.79398141545
271,RESEX ARAPIRANGA-TROMAI,RESEX,RESERVA EXTRATIVISTA ARAPIRANGA-TROMAI,ICMBio Sao Luis,GR1,0000.00.3654,DEC 9.339 de 05/04/2018,MA,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,186909.141790561
272,RESEX ARAPIXI,RESEX,RESERVA EXTRATIVISTA ARAPIXI,Gestao singular,GR1,0000.00.0285,DEC S/N. de 21/06/2006,AM,AMAZONIA,AMAZONIA,133711.506538827
273,RESEX ARIOCA PRUANA,RESEX,RESERVA EXTRATIVISTA ARIOCA PRUANA,ICMBio Breves,GR1,0000.00.0273,DEC S/N. de  16/11/2005,PA,AMAZONIA,AMAZONIA,83816.716063916
274,RESEX AUATI-PARANA,RESEX,RESERVA EXTRATIVISTA AUATI-PARANA,ICMBio Tefe,GR1,0000.00.0220,DEC S/N. de 07/08/2001,AM,AMAZONIA,AMAZONIA,146949.375679346
275,RESEX BAIXO RIO BRANCO-JAUAPERI,RESEX,RESERVA EXTRATIVISTA BAIXO RIO BRANCO-JAUAPERI,ICMBio Novo Airao,GR1,0000.00.3693,DEC 9.401 de 05/06/2018,AM;RR,AMAZONIA,AMAZONIA,580630.920552056
276,RESEX BARREIRO DAS ANTAS,RESEX,RESERVA EXTRATIVISTA BARREIRO DAS ANTAS,ICMBio Mico-Leao-Dourado,GR1,0000.00.0221,DEC S/N. de 07/08/2001,RO,AMAZONIA,AMAZONIA,106198.522168781
277,RESEX CHAPADA LIMPA,RESEX,RESERVA EXTRATIVISTA CHAPADA LIMPA,Gestao singular,GR2,0000.00.1564,DEC S/N. de 26/09/2007,MA,CERRADO,CERRADO,11973.231283894
278,RESEX CHICO MENDES,RESEX,RESERVA EXTRATIVISTA CHICO MENDES,ICMBio Chico Mendes,GR1,0000.00.0222,DEC 99.144. de 12/03/1990,AC,AMAZONIA,AMAZONIA,931542.942204658
279,RESEX CHOCOARE-MATO GROSSO,RESEX,RESERVA EXTRATIVISTA CHOCOARE-MATO GROSSO,ICMBio Salgado Paraense,GR1,0000.00.0223,DEC S/N. de 16/12/2002. DEC 11.551 de 05/06/2023,PA,AMAZONIA,AMAZONIA,4617.86144095128
280,RESEX DA BAIA DO TUBARAO,RESEX,RESERVA EXTRATIVISTA DA BAIA DO TUBARAO,ICMBio Sao Luis,GR1,0000.00.3653,DEC 9.340 de 05/04/2018,MA,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO AMAZONIA;CERRADO,223888.975558288
281,RESEX DE CANAVIEIRAS,RESEX,RESERVA EXTRATIVISTA DE CANAVIEIRAS,Gestao singular,GR2,0000.00.0253,DEC S/N. de  05/06/2006,BA,MATA ATLANTICA,MATA ATLANTICA,100688.407857605
282,RESEX DE CASSURUBA,RESEX,RESERVA EXTRATIVISTA DE CASSURUBA,Gestao singular,GR2,0000.00.1808,DEC S/N de  05/06/2009,BA,MATA ATLANTICA,MATA ATLANTICA,100578.378100896
283,RESEX DE CURURUPU,RESEX,RESERVA EXTRATIVISTA DE CURURUPU,ICMBio Sao Luis,GR1,0000.00.0279,DEC S/N. de 02/06/2004,MA,AMAZONIA,AMAZONIA,186056.730050141
284,RESEX DE RECANTO DAS ARARAS DE TERRA RONCA,RESEX,RESERVA EXTRATIVISTA DE RECANTO DAS ARARAS DE TERRA RONCA,ICMBio Mata Grande - Terra Ronca,GR3,0000.00.0286,DEC S/N. de 11/09/2006,GO,CERRADO,CERRADO,12349.329800902
285,RESEX DE SAO JOAO DA PONTA,RESEX,RESERVA EXTRATIVISTA DE SAO JOAO DA PONTA,ICMBio Salgado Paraense,GR1,0000.00.0228,DEC S/N. de 13/12/2002,PA,AMAZONIA,AMAZONIA,3409.49367205235
286,RESEX DO ALTO JURUA,RESEX,RESERVA EXTRATIVISTA DO ALTO JURUA,ICMBio Cruzeiro do Sul,GR1,0000.00.1517,DEC 98.863. de 23/01/1990,AC,AMAZONIA,AMAZONIA,537949.359192377
287,RESEX DO ALTO TARAUACA,RESEX,RESERVA EXTRATIVISTA DO ALTO TARAUACA,ICMBio Alto Tarauaca-Santa Rosa do Purus,GR1,0000.00.0274,DEC S/N. de 8/11/2000,AC,AMAZONIA,AMAZONIA,154133.845605478
288,RESEX DO BAIXO JURUA,RESEX,RESERVA EXTRATIVISTA DO BAIXO JURUA,ICMBio Tefe,GR1,0000.00.0230,DEC S/N. de 01/08/2001,AM,AMAZONIA,AMAZONIA,178038.921587008
289,RESEX DO BATOQUE,RESEX,RESERVA EXTRATIVISTA DO BATOQUE,ICMBio Batoque-Prainha,GR2,0000.00.0231,DEC S/N. de 05/06/2003,CE,CAATINGA,CAATINGA,601.4468439626
290,RESEX DO CAZUMBA-IRACEMA,RESEX,RESERVA EXTRATIVISTA DO CAZUMBA-IRACEMA,ICMBio Sena Madureira,GR1,0000.00.0232,DEC S/N. de 19/10/2002,AC,AMAZONIA,AMAZONIA,756463.992217965
291,RESEX DO CIRIACO,RESEX,RESERVA EXTRATIVISTA DO CIRIACO,ICMBio Imperatriz,GR2,0000.00.1519,DEC S/N. de 17/06/2010,MA,AMAZONIA,AMAZONIA,8106.63063657034
292,RESEX DO EXTREMO NORTE DO ESTADO DO TOCANTINS,RESEX,RESERVA EXTRATIVISTA DO EXTREMO NORTE DO ESTADO DO TOCANTINS,ICMBio Imperatriz,GR2,0000.00.0240,DEC 535. de 20/05/1992,TO,AMAZONIA,CERRADO,9070.6031376409
293,RESEX DO LAGO DO CAPANA GRANDE,RESEX,RESERVA EXTRATIVISTA DO LAGO DO CAPANA GRANDE,Gestao singular,GR1,0000.00.0242,DEC S/N. de  03/06/2004,AM,AMAZONIA,AMAZONIA,305080.980973399
294,RESEX DO LAGO DO CUNIA,RESEX,RESERVA EXTRATIVISTA DO LAGO DO CUNIA,ICMBio Cunia-Jacunda,GR1,0000.00.0233,DEC 3.238. de 10/11/1999 ; DEC 9.638. de 26/12/2019,RO,AMAZONIA,AMAZONIA,76411.7057832662
295,RESEX DO MEDIO JURUA,RESEX,RESERVA EXTRATIVISTA DO MEDIO JURUA,Gestao singular,GR1,0000.00.0235,DEC S/N. de 04/03/1997 ; DEC S/N. de 13/10/2014,AM,AMAZONIA,AMAZONIA,286954.806847218
296,RESEX DO MEDIO PURAS,RESEX,RESERVA EXTRATIVISTA DO MEDIO PURAS,ICMBio Labrea,GR1,0000.00.1606,DEC S/N. de 08/05/2008,AM,AMAZONIA,AMAZONIA,600555.102964084
297,RESEX DO MANDIRA,RESEX,RESERVA EXTRATIVISTA DO MANDIRA,ICMBio Iguape,GR4,0000.00.0234,DEC S/N. de 13/12/2002,SP,MATA ATLANTICA,MATA ATLANTICA,1177.81099776475
298,RESEX DO QUILOMBO FLEXAL,RESEX,RESERVA EXTRATIVISTA DO QUILOMBO FLEXAL,ICMBio Sao Luis,GR1,0000.00.1520,DEC 536. de 20/05/1992,MA,AMAZONIA,AMAZONIA,9338.45122576413
299,RESEX DO RIO CAJARI,RESEX,RESERVA EXTRATIVISTA DO RIO CAJARI,Gestao singular,GR1,0000.00.1518,DEC 99.145. de 12/03/1990,AP,AMAZONIA,AMAZONIA,532404.510512866
300,RESEX DO RIO DO CAUTARIO,RESEX,RESERVA EXTRATIVISTA DO RIO DO CAUTARIO,ICMBio Cautario-Guapore,GR1,0000.00.0238,DEC S/N. de 07/08/2001,RO,AMAZONIA,AMAZONIA,75125.4961707584
301,RESEX DO RIO JUTAI,RESEX,RESERVA EXTRATIVISTA DO RIO JUTAI,ICMBio Tefe,GR1,0000.00.0239,DEC S/N. de 16/07/2002,AM,AMAZONIA,AMAZONIA,275515.823299511
302,RESEX DO RIO OURO PRETO,RESEX,RESERVA EXTRATIVISTA DO RIO OURO PRETO,ICMBio Guajara-Mirim,GR1,0000.00.0256,DEC 99.166. de 13/03/1990,RO,AMAZONIA,AMAZONIA,204632.81226661
303,RESEX FILHOS DO MANGUE,RESEX,RESERVA EXTRATIVISTA FILHOS DO MANGUE,Gestao singular,GR1,0000.00.4777,DEC 11.959 de 24/03/2024,PA,AMAZONIA,AMAZONIA,40538.72427
304,RESEX GURUPA-MELGACO,RESEX,RESERVA EXTRATIVISTA GURUPA-MELGACO,Gestao singular,GR1,0000.00.0288,DEC S/N. de 30/11/2006,PA,AMAZONIA,AMAZONIA,145574.108289645
305,RESEX IPAA-ANILZINHO,RESEX,RESERVA EXTRATIVISTA IPAA-ANILZINHO,Gestao singular,GR1,0000.00.0241,DEC S/N. de 14/06/2005,PA,AMAZONIA,AMAZONIA,55835.0121251095
306,RESEX ITAPETININGA,RESEX,RESERVA EXTRATIVISTA ITAPETININGA,ICMBio Sao Luis,GR1,0000.00.3651,DEC 9.333 de 05/04/2018,MA,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,16294.1744318894
307,RESEX ITUXI,RESEX,RESERVA EXTRATIVISTA ITUXI,ICMBio Labrea,GR1,0000.00.1628,DEC S/N. de 05/06/2008,AM,AMAZONIA,AMAZONIA,777387.02189037
308,RESEX LAGO DO CEDRO,RESEX,RESERVA EXTRATIVISTA LAGO DO CEDRO,ICMBio Meandros do Araguaia,GR3,0000.00.0287,DEC S/N.de 11/09/2006,GO,CERRADO,CERRADO,17178.0506620203
309,RESEX MAE GRANDE DE CURUCA,RESEX,RESERVA EXTRATIVISTA MAE GRANDE DE CURUCA,ICMBio Salgado Paraense,GR1,0000.00.0243,DEC S/N. de 13/12/2002,PA,AMAZONIA,AMAZONIA,36678.7809665405
310,RESEX MAPUA,RESEX,RESERVA EXTRATIVISTA MAPUA,ICMBio Breves,GR1,0000.00.0244,DEC S/N. de 20/05/2005,PA,AMAZONIA,AMAZONIA,93747.6607366134
311,RESEX MARACANA,RESEX,RESERVA EXTRATIVISTA MARACANA,ICMBio Salgado Paraense,GR1,0000.00.0227,DEC S/N. de 13/12/2002,PA,AMAZONIA,AMAZONIA,30179.6451931826
312,RESEX MARINHA CUINARANA,RESEX,RESERVA EXTRATIVISTA MARINHA CUINARANA,ICMBio Salgado Paraense,GR1,0000.00.3134,DEC S/N. de 10/10/2014,PA,AMAZONIA,AMAZONIA,11036.4109337498
313,RESEX MARINHA DA BAIA DO IGUAPE,RESEX,RESERVA EXTRATIVISTA MARINHA DA BAIA DO IGUAPE,Gestao singular,GR2,0000.00.0245,DEC S/N. de 11/08/2000; LEI 12.058. de 13/10/2009,BA,MATA ATLANTICA,MATA ATLANTICA;SISTEMA COSTEIRO-MARINHO,10082.5909932089
314,RESEX MARINHA DA LAGOA DO JEQUIA,RESEX,RESERVA EXTRATIVISTA MARINHA DA LAGOA DO JEQUIA,Gestao singular,GR2,0000.00.0246,DEC S/N. de 27/09/2001,AL,MATA ATLANTICA,MATA ATLANTICA,10196.6934982512
315,RESEX MARINHA DE ARAI-PEROBA,RESEX,RESERVA EXTRATIVISTA MARINHA DE ARAI-PEROBA,ICMBio Braganca,GR1,0000.00.0247,DEC S/N. de 20/05/2005; DEC S/N. de 10/10/2014,PA,AMAZONIA,AMAZONIA;SISTEMA COSTEIRO-MARINHO,62578.1155664512
316,RESEX MARINHA DE CAETE-TAPERACU,RESEX,RESERVA EXTRATIVISTA MARINHA DE CAETE-TAPERACU,ICMBio Braganca,GR1,0000.00.0248,DEC S/N. de 20/05/2005,PA,AMAZONIA,AMAZONIA,42489.8062642412
317,RESEX MARINHA DE GURUPI-PIRIA,RESEX,RESERVA EXTRATIVISTA MARINHA DE GURUPI-PIRIA,ICMBio Braganca,GR1,0000.00.0249,DEC S/N. de 20/05/2005,PA,AMAZONIA,AMAZONIA,72789.9284198011
318,RESEX MARINHA DE SOURE,RESEX,RESERVA EXTRATIVISTA MARINHA DE SOURE,Gestao singular,GR1,0000.00.0254,DEC de 22/11/2001,PA,AMAZONIA,AMAZONIA,29578.7958680819
319,RESEX MARINHA DE TRACUATEUA,RESEX,RESERVA EXTRATIVISTA MARINHA DE TRACUATEUA,ICMBio Braganca,GR1,0000.00.0250,DEC S/N. de 20/05/2005,PA,AMAZONIA,AMAZONIA,27864.5015639083
320,RESEX MARINHA DO ARRAIAL DO CABO,RESEX,RESERVA EXTRATIVISTA MARINHA DO ARRAIAL DO CABO,Gestao singular,GR4,0000.00.0251,DEC S/N. de 03/01/1997,RJ,MATA ATLANTICA,MATA ATLANTICA,51849.1960013643
321,RESEX MARINHA DO CORUMBAU,RESEX,RESERVA EXTRATIVISTA MARINHA DO CORUMBAU,Gestao singular,GR2,0000.00.0252,DEC S/N. de 21/09/2000,BA,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,89996.762447105
322,RESEX MARINHA DO DELTA DO PARNAIBA,RESEX,RESERVA EXTRATIVISTA MARINHA DO DELTA DO PARNAIBA,Gestao singular,GR2,0000.00.0225,DEC S/N. de 16/11/2000,MA;PI,CERRADO,CERRADO;SISTEMA COSTEIRO-MARINHO,27022.0734188426
323,RESEX MARINHA DO PIRAJUBAE,RESEX,RESERVA EXTRATIVISTA MARINHA DO PIRAJUBAE,ICMBio Florianopolis,GR5,0000.00.0255,DEC 533. de 20/05/1992,SC,MATA ATLANTICA,MATA ATLANTICA;SISTEMA COSTEIRO-MARINHO,1686.86614250538
324,RESEX MARINHA MESTRE LUCINDO,RESEX,RESERVA EXTRATIVISTA MARINHA MESTRE LUCINDO,ICMBio Salgado Paraense,GR1,0000.00.3133,DEC S/N. de 10/10/2014,PA,AMAZONIA,AMAZONIA;SISTEMA COSTEIRO-MARINHO,26464.8785437394
325,RESEX MARINHA MOCAPAJUBA,RESEX,RESERVA EXTRATIVISTA MARINHA MOCAPAJUBA,ICMBio Salgado Paraense,GR1,0000.00.3132,DEC S/N. de 10/10/2014,PA,AMAZONIA,AMAZONIA,21027.7966867226
326,RESEX DA MATA GRANDE,RESEX,RESERVA EXTRATIVISTA MATA GRANDE,ICMBio Imperatriz,GR2,0000.00.0226,DEC 532. de 20/05/1992,MA,CERRADO,AMAZONIA,11431.6616435131
327,RESEX PRAINHA DO CANTO VERDE,RESEX,RESERVA EXTRATIVISTA PRAINHA DO CANTO VERDE,ICMBio Batoque-Prainha,GR2,0000.00.1809,DEC S/N. de 05/06/2009,CE,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,29805.4819365388
328,RESEX RENASCER,RESEX,RESERVA EXTRATIVISTA RENASCER,Gestao singular,GR1,0000.00.1810,DEC S/N. de 05/06/2009,PA,AMAZONIA,AMAZONIA,209667.373723171
329,RESEX RIO IRIRI,RESEX,RESERVA EXTRATIVISTA RIO IRIRI,ICMBio Terra do Meio,GR1,0000.00.0280,DEC S/N. de 05/06/2006,PA,AMAZONIA,AMAZONIA,398997.612194447
330,RESEX RIO UNINI,RESEX,RESERVA EXTRATIVISTA RIO UNINI,ICMBio Novo Airao,GR1,0000.00.0283,DEC S/N. de 21/06/2006,AM,AMAZONIA,AMAZONIA,849693.349781755
331,RESEX RIO XINGU,RESEX,RESERVA EXTRATIVISTA RIO XINGU,ICMBio Terra do Meio,GR1,0000.00.1635,DEC S/N. de 05/06/2008,PA,AMAZONIA,AMAZONIA,303004.703451954
332,RESEX RIOZINHO DA LIBERDADE,RESEX,RESERVA EXTRATIVISTA RIOZINHO DA LIBERDADE,ICMBio Cruzeiro do Sul,GR1,0000.00.0257,DEC S/N. de 17/02/2005,AC;AM,AMAZONIA,AMAZONIA,324905.932354607
333,RESEX RIOZINHO DO ANFRISIO,RESEX,RESERVA EXTRATIVISTA RIOZINHO DO ANFRISIO,ICMBio Terra do Meio,GR1,0000.00.0258,DEC S/N. de 08/11/2004,PA,AMAZONIA,AMAZONIA,737088.867929842
334,RESEX TAPAJOS-ARAPIUNS,RESEX,RESERVA EXTRATIVISTA TAPAJOS-ARAPIUNS,Gestao singular,GR1,0000.00.0259,DEC S/N. de 06/11/1998,PA,AMAZONIA,AMAZONIA,677521.473574018
335,RESEX TERRA GRANDE-PRACUUBA,RESEX,RESERVA EXTRATIVISTA TERRA GRANDE-PRACUUBA,ICMBio Breves,GR1,0000.00.0282,DEC S/N. de 05/06/2006,PA,AMAZONIA,AMAZONIA,194870.377437289
336,RESEX VERDE PARA SEMPRE,RESEX,RESERVA EXTRATIVISTA VERDE PARA SEMPRE,Gestao singular,GR1,0000.00.0260,DEC S/N. de 08/11/2004,PA,AMAZONIA,AMAZONIA,1289379.74234782
337,RESEX VIRIANDEUA,RESEX,RESERVA EXTRATIVISTA VIRIANDEUA,Gestao singular,GR1,0000.00.4780,DEC 11.958 de 21/03/2024,PA,AMAZONIA,AMAZONIA,34169.2616
