id,TIPO_NOME,TIPO,Nome_UC,NGI,GR,CNUC,Atos_legais,UF,Bioma_predominante,Bioma_comp_RL,Area
152,MN DOS PONTOES CAPIXABAS,MN,MONUMENTO NATURAL DOS PONTOES CAPIXABAS,Gestao singular,GR4,0000.00.0181,DEC S/N de 19/12/2002; Lei ordinária  n. 11.686. de 02/06/2008,ES,MATA ATLANTICA,MATA ATLANTICA,17443.6335260451
153,PARNA CAVERNAS DO PERUACU,PARNA,PARQUE NACIONAL CAVERNAS DO PERUACU,ICMBio Peruacu,GR4,0000.00.0135,DEC S/N de 21/09/1999,MG,CERRADO,CAATINGA;CERRADO,56449.0040049718
154,PARNA DA AMAZONIA,PARNA,PARQUE NACIONAL DA AMAZONIA,Unidade Especial Avancada - UNA Itaituba,GR1,0000.00.0136,DEC 73.683. DE 19/02/1974; DEC 90.823. DE 18/01/1985; DEC S/N DE 13/02/2006; LEI 12.678. de 25/07/2012 ,AM;PA,AMAZONIA,AMAZONIA,1066209.71023303
155,PARNA DA CHAPADA DIAMANTINA,PARNA,PARQUE NACIONAL DA CHAPADA DA DIAMANTINA,Gestao singular,GR2,0000.00.0137,DEC 91.655. de 17/09/1985,BA,CAATINGA,CAATINGA,151819.75410622
156,PARNA DA CHAPADA DAS MESAS,PARNA,PARQUE NACIONAL DA CHAPADA DAS MESAS,Gestao singular,GR2,0000.00.0272,DEC DE 12 DE DEZEMBRO DE 2005; DEC de S/N 31/01/2006,MA,CERRADO,CERRADO,159953.780650409
157,PARNA DA CHAPADA DOS GUIMARAES,PARNA,PARQUE NACIONAL DA CHAPADA DOS GUIMARAES,Gestao singular,GR3,0000.00.0138,DEC 97.656. de 12/04/1989,MT,CERRADO,CERRADO,32646.8318643758
158,PARNA DA CHAPADA DOS VEADEIROS,PARNA,PARQUE NACIONAL DA CHAPADA DOS VEADEIROS,Gestao singular,GR3,0000.00.0139,DEC 49.875. de 11/01/1961; DEC 70.492. de 11/05/1972; DEC  n. 86.173. DE 2 DE JULHO DE 1981; DEC 86.596. de 17/11/1981; DEC S/N. de 27/09/2001; DEC S/N de 05/06/2017.,GO,CERRADO,CERRADO,240586.563275077
159,PARNA DA FURNA FEIA,PARNA,PARQUE NACIONAL DA FURNA FEIA,ICMBio Mossoro,GR2,0000.00.2633,DEC S/N. de 05/06/2012,RN,CAATINGA,CAATINGA,8558.70890302297
160,PARNA DA LAGOA DO PEIXE,PARNA,PARQUE NACIONAL DA LAGOA DO PEIXE,Gestao singular,GR5,0000.00.0140,DEC 93.546. de 06/11/1986,RS,PAMPA,PAMPA,36721.9305666561
161,PARNA DA RESTINGA DE JURUBATIBA,PARNA,PARQUE NACIONAL DA RESTINGA DE JURUBATIBA,Gestao singular,GR4,0000.00.0141,DEC S/N. de 29/04/1998,RJ,MATA ATLANTICA,MATA ATLANTICA,14919.4649034476
