ind,UC,NGI,Incendio,Queima_prescrita,Queima_controlada,Aceiro,Fogo_natural,Indigena_isolado,Total_prevencao,Total_combate,Area_total,Area_UC,Perc_AAF_UC
87,PARNA DO JAU,Nucleo de Gestao Integrada - ICMBio Novo Airao,6.408852252,0,0,0,0,0,0,6.408852252,6.408852252,2367340.75,0
88,PARNA DO JURUENA,-,906.6915674,0,0,0,0,0,0,906.6915674,906.6915674,1957027.75,0.05
89,PARNA DO MONTE RORAIMA,Nucleo de Gestao Integrada - ICMBio Roraima,276.5552804,0,1635.305655,0,0,0,1635.305655,276.5552804,1911.860935,116750.539,1.64
90,PARNA DO PANTANAL MATOGROSSENSE,-,481.4398456,0,0,0,52809.86755,0,0,53291.3074,53291.3074,135921.75,39.21
91,PARNA DO PICO DA NEBLINA,Nucleo de Gestao Integrada - ICMBio Pico da Neblina,630.5932805,0,0,0,0,0,0,630.5932805,630.5932805,2252411,0.03
92,PARNA DO RIO NOVO,UNA Itaituba,263.8657508,0,0,0,0,0,0,263.8657508,263.8657508,538114.312,0.05
93,PARNA DOS CAMPOS AMAZONICOS,Nucleo de Gestao Integrada - ICMBio Humaita,5903.642163,16769.20614,0,0,0,0,16769.20614,5903.642163,22672.8483,961313.688,2.36
94,PARNA DOS CAMPOS FERRUGINOSOS,Nucleo de Gestao Integrada - ICMBio Carajas,52.55272167,0,0,0,0,0,0,52.55272167,52.55272167,78869.3359,0.07
95,PARNA DOS LENCOIS MARANHENSES,-,2.011534696,0,0,0,0,0,0,2.011534696,2.011534696,157173.641,0
96,PARNA DO VIRUA,Nucleo de Gestao Integrada - ICMBio Roraima,0,18231.61393,0,0,0,0,18231.61393,0,18231.61393,280982.312,6.49
97,PARNA E HISTORICO DO MONTE PASCOAL,-,1652.24563,0,18.21434867,0,0,0,18.21434867,1652.24563,1670.459979,22239.6875,7.51
98,PARNA GRANDE SERTAO VEREDAS,-,2911.796275,133.5950575,0,0,0,0,133.5950575,2911.796275,3045.391332,230853.281,1.32
99,PARNA MAPINGUARI,Nucleo de Gestao Integrada - ICMBio Porto Velho,533.8254008,0,0,0,0,0,0,533.8254008,533.8254008,1776923.88,0.03
100,REBIO DA CONTAGEM,Nucleo de Gestao Integrada - ICMBio Brasilia-Contagem,129.5091226,128.231808,0,0,0,0,128.231808,129.5091226,257.7409307,3411.69165,7.55
101,REBIO DA MATA ESCURA,-,241.406316,0,0,0,0,0,0,241.406316,241.406316,50892.0312,0.47
102,REBIO DE PEDRA TALHADA,-,8.052970062,0,0,0,0,0,0,8.052970062,8.052970062,4382.33887,0.18
103,REBIO DE POCO DAS ANTAS,Nucleo de Gestao Integrada - ICMBio Mico-Leao-Dourado,0,0,0,0,361.4435855,0,0,361.4435855,361.4435855,5052.49805,7.15
104,REBIO DO GUAPORE,Nucleo de Gestao Integrada - ICMBio Cautario-Guapore,19504.08265,968.4024294,0,0,0,10093.91676,11062.31919,19504.08265,30566.40184,615796.25,4.96
105,REBIO DO GURUPI,-,227.6495309,0,0,0,0,0,0,227.6495309,227.6495309,271465.094,0.08
106,REBIO DO JARU,-,248.9392602,0,0,0,0,0,0,248.9392602,248.9392602,346861.281,0.07
107,REBIO DO LAGO PIRATUBA,-,14866.61399,0,0,0,0,0,0,14866.61399,14866.61399,392470.906,3.79
108,REBIO DO MANICORE,Nucleo de Gestao Integrada - ICMBio Humaita,115.899929,0,0,0,0,0,0,115.899929,115.899929,359143.469,0.03
109,REBIO DO RIO TROMBETAS,Nucleo de Gestao Integrada - ICMBio Trombetas,1457.063742,0,0,0,0,0,0,1457.063742,1457.063742,407756.375,0.36
110,REBIO DO TINGUA,Nucleo de Gestao Integrada - ICMBio Serra Fluminense,12.819554,0,0,0,0,0,0,12.819554,12.819554,24812.7129,0.05
111,REBIO NASCENTES DA SERRA DO CACHIMBO,UNA Itaituba,14851.27277,0,225.3447454,0,0,0,225.3447454,14851.27277,15076.61752,342195.75,4.41
112,RESEX ACAU GOIANA,Nucleo de Gestao Integrada - ICMBio Cabedelo,5.441303445,0,0,0,0,0,0,5.441303445,5.441303445,6676.72607,0.08
