ind,UC,Bioma,Area_queimada,Area_UC,Perc_UC,Data_ult_atual
0,APA MORRO DA PEDREIRA,CERRADO,5852.609461,100131.3,5.844935061,20/10/2016
1,ESEC DA TERRA DO MEIO,AMAZONIA,347.818726,3373066.104,0.010311648668086735,08/08/2016
2,ESEC DE CARACARAI,AMAZONIA,731.392841,86794.91416,0.8426678545766382,11/04/2016
3,ESEC DE URUCUI-UNA,CERRADO,28439.7,137148,20.736503631113834,06/11/2016
4,ESEC SERRA GERAL DO TOCANTINS,CERRADO,229960.22,707087.5566107035,32.522170394607535,22/11/2016
5,FLONA DE ALTAMIRA,AMAZONIA,3586.41625,723185.9826,0.4959189387370406,05/09/2016
6,FLONA DE BALATA-TUFARI,AMAZONIA,587.32285,1052954.93,0.055778537,25/08/2016
7,FLONA DE BRASILIA,CERRADO,1610.367628,9336.246379,17.248555389692765,22/08/2016
8,FLONA DE RORAIMA,AMAZONIA,1584.552965,169570.4703,0.9344510057414499,23/03/2016
9,FLONA DO AMAZONAS,AMAZONIA,2830.372034,1942389.23,0.1457160073891349,26/03/2016
10,FLONA DO BOM FUTURO,AMAZONIA,1299.176928,97385.25244,1.3340592086730714,30/09/2016
11,FLONA DO ITACAIUNAS,AMAZONIA,237.653935,136679.5611,0.1738767179388659,23/09/2016
12,FLONA DO JAMANXIM,AMAZONIA,25239.68933,1301643.531,1.9390630946747378,23/10/2016
13,PARNA DA CHAPADA DIAMANTINA,CAATINGA,2274.813105,152143.877,1.4951722998893946,09/07/2016
14,PARNA DA CHAPADA DOS GUIMARAES,CERRADO,2651.690763,32646.83,8.122352960455885,09/09/2016
15,PARNA DA CHAPADA DOS VEADEIROS,CERRADO,183.775804,64796.12,0.2836216180845396,06/08/2016
16,PARNA DA SERRA DA CANASTRA,CERRADO,91519.8542,197809,46.26677967231016,21/11/2016
17,PARNA DA SERRA DAS CONFUSOES,CAATINGA,3965.5,823854.5391,0.48133497018086735,04/11/2016
18,PARNA DA SERRA DO CIPO,CERRADO,1288.151441,31639.53,4.071335576097369,20/10/2016
19,PARNA DA SERRA GERAL,MATA ATLANTICA,198.226565,17302.00818,1.1456853041111588,16/09/2016
20,PARNA DAS EMAS,CERRADO,26217.0923,132642,19.76530231902414,29/10/2016
21,PARNA DAS NASCENTES DO RIO PARNAIBA,CERRADO,171540.7634,724329.3169529052,23.682703351513428,26/10/2016
22,PARNA DAS SEMPRE-VIVAS,CERRADO,4051.965036,124155.8993,3.2636105559423174,15/09/2016
23,PARNA DE APARADOS DA SERRA,MATA ATLANTICA,288.963501,13148.04207,2.1977683017262297,16/09/2016
24,PARNA DE BRASILIA,CERRADO,3005.194018,42355.54,7.095161619943932,25/10/2016
25,PARNA DE PACAAS NOVOS,AMAZONIA,12787.86267,708669.9043,1.804487898968027,16/11/2016
26,PARNA DE SAO JOAQUIM,MATA ATLANTICA,3410.162295,45524,7.490910937088129,10/09/2016
27,PARNA DO ARAGUAIA,CERRADO,305337.9611,555517,54.96464755084003,26/10/2016
28,PARNA DO CABO ORANGE,AMAZONIA,4466.490902,657327.775,0.679492191,13/12/2016
29,PARNA DO JURUENA,AMAZONIA,1063.037831,1958014.417,0.054291624,06/09/2016
30,PARNA DO MONTE RORAIMA,AMAZONIA,1360.363271,116749.2401,1.165200963757896,10/01/2016
31,PARNA DO RIO NOVO,AMAZONIA,530.015325,538151.9519,0.098488043,11/09/2016
32,PARNA DO VIRUA,AMAZONIA,80179.0075,214952.49,37.300804238183055,10/04/2016
33,PARNA DOS CAMPOS AMAZONICOS,AMAZONIA,20221.6685,961326.3773678265,2.103517491673143,17/09/2016
34,PARNA E HISTORICO DO MONTE PASCOAL,MATA ATLANTICA,703.965664,22332.2,3.152245027359597,25/02/2016
35,PARNA GRANDE SERTAO VEREDAS,CERRADO,1488.83,230856.143,0.644916778,05/11/2016
36,PARNA MAPINGUARI,AMAZONIA,21447.78921,1776928.65,1.2070146545839082,19/10/2016
37,PARNA SERRA DA CUTIA,AMAZONIA,2474.06724,283503.495,0.872676099,11/09/2016
38,PARNA SERRA DA MOCIDADE,AMAZONIA,13024.99796,359254.3952,3.625563984398616,10/04/2016
39,REBIO DA CONTAGEM,CERRADO,603.499729,3411.71,17.689068795413444,22/08/2016
40,REBIO DE SOORETAMA,MATA ATLANTICA,884.104929,27859.01273,3.173496984524315,09/03/2016
41,REBIO DO GUAPORE,AMAZONIA,30500.6312,615776.33,4.9531996793381134,09/11/2016
42,REBIO DO JARU,AMAZONIA,195.564784,346864.1983,0.056380793,31/08/2016
43,REBIO NASCENTES DA SERRA DO CACHIMBO,AMAZONIA,2270.951534,342195.7729,0.6636410247642349,16/09/2016
44,RESEX CHICO MENDES,AMAZONIA,1737.046749,931542.94,0.18646985280141784,10/09/2016
45,RESEX DE RECANTO DAS ARARAS DE TERRA RONCA,CERRADO,1639.271444,12349.32985,13.274173284265432,28/11/2016
46,RESEX DO LAGO DO CAPANA GRANDE,AMAZONIA,186.372893,303761.0904,0.061355091,07/08/2016
47,RESEX DO RIO CAJARI,AMAZONIA,19531.67101,532404.5102,3.6685773005933804,27/12/2016
48,RESEX DO RIO OURO PRETO,AMAZONIA,323.968917,204633.089,0.15831697531575648,21/08/2016
49,RESEX VERDE PARA SEMPRE,AMAZONIA,22933.50647,1289320.13,1.7787286441473027,27/12/2016
50,REVIS DAS VEREDAS DO OESTE BAIANO,CERRADO,4695.417659,128048.99,3.6668916006287904,02/11/2016
51,REVIS DOS CAMPOS DE PALMAS,MATA ATLANTICA,3249.489943,16594.28697,19.581979925202052,04/11/2016
