ind,UC,Bioma,Area_queimada,Area_UC,Perc_UC,Data_ult_atual
58,PARNA E HISTORICO DO MONTE PASCOAL,MATA ATANTICA,124.012255,22332.19,0.5553071821438024,11/04/2017
59,PARNA GRANDE SERTAO VEREDAS,CERRADO,6232.367258,230856.143,2.699675727646094,23/10/2017
60,PARNA MAPINGUARI,AMAZONIA,8530.047967,1776928.65,0.4800444838907854,19/09/2017
61,REBIO DA CONTAGEM,CERRADO,200.93,3411.71687,5.889410160814428,16/10/2017
62,REBIO DAS NASCENTES DA SERRA DO CACHIMBO,AMAZONIA,22049.34927,342195.77,6.443489723441058,25/10/2017
63,REBIO DO GUAPORE,AMAZONIA,13826.47613,615776.32,2.2453731458851816,04/11/2017
64,REBIO DO GURUPI,AMAZONIA,266.094771,271201.42,0.098117027,16/07/2017
65,REBIO DO JARU,AMAZONIA,269.99,346864.2,0.077837378,08/09/2017
66,REBIO DO LAGO PIRATUBA,MATA ATANTICA,242.648,392474.85,0.061825108,02/10/2017
67,RESEX CHAPADA LIMPA,CERRADO,91.37,11973.23,0.7631190580987753,28/08/2017
68,RESEX CHICO MENDES,AMAZONIA,288.147463,931542.94,0.030932279,10/08/2017
69,RESEX DE CANAVIEIRAS,MATA ATANTICA,126.943136,100727.68,0.12602606949748074,30/01/2017
70,RESEX DO EXTREMO NORTE DO TOCANTINS,CERRADO,111.74,9070.6,1.231892046832624,01/08/2017
71,RESEX DO RIO OURO PRETO,AMAZONIA,712.071478,204633.089,0.3479747490885992,16/09/2017
72,RESEX IPAU-ANILZINHO,AMAZONIA,81.27,55835.01,0.14555383799519334,02/10/2017
73,RESEX MARINHA DO DELTA DO PARNAIBA,CERRADO,63.62,27022.073,0.23543715539514679,26/01/2017
74,RESEX TAPAJOS-ARAPIUNS,AMAZONIA,19.859554,677485.39,0.002931363,26/04/2017
75,REVIS DAS VEREDAS DO OESTE BAIANO,CERRADO,39767.38921,128050.55,31.05600812,08/10/2017
76,REVIS DE BOA NOVA,MATA ATANTICA,96.499,14920.281,0.6467639583999791,26/01/2017
77,REVIS DOS CAMPOS DE PALMAS,MATA ATANTICA,109.543195,16594.28,0.6601262302431923,22/07/2017
