ind,UC,Bioma,Area_queimada,Area_UC,Perc_UC,Data_ult_atual,Satelite
49,PARNA SERRA DA MOCIDADE,AMAZONIA,10678.974588261002,359943.6144,2.966846517023324,14/04/2019,Modis
50,REBIO DA CONTAGEM,CERRADO,1004.129931,3411.71,29.43186645406556,10/09/2019,Modis
51,REBIO DA MATA ESCURA,MATA ATANTICA,585.7591330386949,50892.38,1.1509761049467424,15/11/2019,Modis
52,REBIO DAS PEROBAS,MATA ATLANTICA,52.916817,8716.192202,0.6071093405656867,23/09/2019,Landsat / Sentinel
53,REBIO DO GUAPORE,AMAZONIA,1748.698745,615776.3294,0.28398278104688074,13/08/2019,Modis
54,REBIO NASCENTES DA SERRA DO CACHIMBO,AMAZONIA,8411.787483958882,342195.7729,2.4581798344770127,16/09/2019,Modis
55,RESEX DE CANAVIEIRAS,MATA ATLANTICA,1009.026612,100688.4078,1.0021278855600213,17/03/2019,Landsat / Sentinel
56,RESEX DE CASSURUBA,MATA ATLANTICA,36.7,100578.3782,0.036488956,14/03/2019,Landsat / Sentinel
57,RESEX DE RECANTO DAS ARARAS DE TERRA RONCA,CERRADO,407.35073994799995,12349.33,3.2985655088008823,10/10/2019,Modis
58,RESEX DO RIO CAJARI,AMAZONIA,4661.468709,532404.51,0.8755501919795909,13/10/2019,Modis
59,REVIS DE BOA NOVA,MATA ATANTICA,76.237451,15024.05791,0.5074358169518373,16/03/2019,Modis
60,REVIS DO RIO DOS FRADES,MATA ATLANTICA,75.314162,898.678398,8.380546607953516,10/02/2019,Landsat / Sentinel
