ind,UC,Bioma,Area_queimada,Area_UC,Perc_UC,Data_ult_atual,Satelite
0,ESEC DA TERRA DO MEIO,AMAZONIA,365.316263,3373172.52,0.010830049777590384,04/11/2018,Modis
1,ESEC DE CUNIA,AMAZONIA,1088.559555,185313.6097,0.5874147919259111,19/08/2018,Modis
2,ESEC NIQUIA,AMAZONIA,71161.66,284790.62,24.987360889905716,13/04/2018,Modis
3,ESEC DE URUCUI-UNA,CERRADO,19132.68,137148,13.950389360398985,02/10/2018,Modis
4,ESEC DO CASTANHAO,CAATINGA,1513.108241,12574.63,12.033023961738834,05/09/2018,Modis
5,ESEC SERRA GERAL DO TOCANTINS,CERRADO,141042.1699,707087.5566107035,19.94691726963209,25/10/2018,Modis
6,FLONA DE ALTAMIRA,AMAZONIA,306.78,723185.98,0.042420623,07/08/2018,Modis
7,FLONA DE BALATA-TUFARI,AMAZONIA,1103.92,1052954.92,0.1048401958176899,02/07/2018,Modis
8,FLONA DE CRISTOPOLIS,CERRADO,328.796132,12840.69,2.5605799376824763,18/09/2018,Modis
9,FLONA DE IPANEMA,MATA ATLANTICA,11.37,5384.82,0.21114911919061363,04/07/2018,Modis
10,FLONA DE MACAUA,AMAZONIA,13.603325,176347.36,0.007713937,,Landsat 
11,FLONA DE RORAIMA,AMAZONIA,1382.426755,169570.47,0.8152520630508365,02/04/2018,Modis
12,FLONA DE SANTA ROSA DO PURUS,AMAZONIA,165.75107,231556.88,0.071581147,,Landsat 
13,FLONA DO ARIPUANA,AMAZONIA,331.806381,751302.17,0.044164171787231754,10/10/2018,Modis
14,FLONA DO BOM FUTURO,AMAZONIA,2909.813681,97385.25244,2.987940790048372,11/09/2018,Modis
15,FLONA DO JAMANXIM,AMAZONIA,17203.86,1301695.41,1.3216502007946698,08/09/2018,Modis
16,PARNA DA CHAPADA DAS MESAS,CERRADO,4045.109689,159953.78,2.5289240985739756,,Landsat 
17,PARNA DA CHAPADA DIAMANTINA,CAATINGA,3958.817617,152143.91,2.6020217417838154,25/10/2018,Modis
18,PARNA DA CHAPADA DOS VEADEIROS,CERRADO,13384.39355,240586.56,5.563234101273156,28/09/2018,Modis
19,PARNA DA SERRA DA CANASTRA,CERRADO,44544.02514,197809,22.51870498056206,27/09/2018,Modis
20,PARNA DA SERRA DAS CONFUSOES,CAATINGA,22306.62664,823854.54,2.7075928522527777,25/10/2018,Modis
21,PARNA DA SERRA DO GANDARELA,MATA ATLANTICA,516.367451,31270.82,1.6512756972794442,04/10/2018,Modis
22,PARNA DA SERRA DOS ORGAOS ,MATA ATLANTICA,64.557317,20020.74,0.322452202,30/07/2018,Modis
23,PARNA DAS EMAS,CERRADO,4491.172462,132787.86,3.3822161619292617,23/07/2018,Modis
24,PARNA DAS NASCENTES DO RIO PARNAIBA,CERRADO,84336.75101,724329.3169529052,11.643426412972797,25/10/2018,Modis
25,PARNA DAS SEMPRE VIVAS,CERRADO,311.38,124155.8993,0.25079758732001906,11/08/2018,Modis
26,PARNA DE PACAAS NOVOS,AMAZONIA,4706.298988,708669.9,0.6641031301033103,13/09/2018,Modis
27,PARNA DO ARAGUAIA,CERRADO,138454.9113,555517,24.92361372505252,05/10/2018,Modis
28,PARNA DO BOQUEIRAO DA ONCA,CAATINGA,3224.423648,346908.1,0.9294748805231127,09/09/2018,Modis
29,PARNA DO JURUENA,AMAZONIA,64.31,1958014.41,0.00328445,01/09/2018,Modis
30,PARNA DO RIO NOVO,AMAZONIA,408.664484,538157.14,0.075937761,01/09/2018,Modis
31,PARNA DOS CAMPOS AMAZONICOS,AMAZONIA,26933.83285,961326.64,2.801735822696019,20/09/2018,Modis
32,PARNA MAPINGUARI,AMAZONIA,2241.437716,1776928.599,0.12614112448650575,27/10/2018,Modis
33,REBIO DA MATA ESCURA,MATA ATLANTICA,443.74,50892.38,0.8719183500555486,28/09/2018,Modis
34,REBIO DAS NASCENTES DA SERRA DO CACHIMBO,AMAZONIA,2325.49,342195.77,0.6795788270556353,04/10/2018,Modis
35,REBIO DO GUAPORE,AMAZONIA,18217.74436,615776.32,2.9585003133930194,28/09/2018,Modis
36,REBIO DO LAGO PIRATUBA,AMAZONIA,231.447624,392474.84,0.058971328,02/11/2018,Modis
37,REBIO DO MANICORE,AMAZONIA,716.663965,359137.54,0.1995513933185598,06/10/2018,Modis
38,RESEX ARAPIXI,AMAZONIA,113.5,133711.51,0.084884241,19/10/2018,Modis
39,RESEX CHICO MENDES,AMAZONIA,6949.902096,931542.94,0.7460635251016985,,Landsat 
40,RESEX DE RECANTO DAS ARARAS DE TERRA RONCA,CERRADO,5763.329441,12349.32981,46.66916772870668,28/09/2018,Modis
41,RESEX DO RIO CAJARI,AMAZONIA,3218.483206,532404.5105,0.6045183957592879,28/10/2018,Modis
42,REVIS DAS VEREDAS DO OESTE BAIANO,CERRADO,321.24,128050.55,0.25086967607714294,17/07/2018,Modis
